nombre,formato,precio,precio_ud/Kg/L,marca,categoria
"whisky scotch 0,7 l","0,7 l",13.95,19.93,BALLANTINES,bebidas
whisky scotch 1 l,1 l,19.95,19.95,BALLANTINES,bebidas
"whisky scotch 10 años 0,7 l","0,7 l",22.5,32.14,BALLANTINES,bebidas
"ron dominicano 0,7 l","0,7 l",15.45,22.07,BARCELÓ,bebidas
"ron dominicano imperial 0,7 l","0,7 l",31.5,45.0,BARCELÓ,bebidas
"vino blanco d.o.valencia 0,75 l","0,75 l",2.95,3.93,BARON TURIS,bebidas
"vino tinto crianza d.o.valencia 0,75 l","0,75 l",2.99,3.99,BARON TURIS,bebidas
"vino tinto joven d.o.valencia 0,75 l","0,75 l",2.95,3.93,BARON TURIS,bebidas
"vino blanco madurado d.o.utiel-requena 0,75 l","0,75 l",3.0,4.0,BARRICA 88,bebidas
"vino tinto crianza d.o.utiel-requena 0,75 l","0,75 l",2.39,3.19,BARRICA 88,bebidas
"vino tinto reserva d.o. utiel requena 0,75 l","0,75 l",2.99,3.99,BARRICA 88,bebidas
"vino rosado lambrusco 0,75 l","0,75 l",3.6,4.8,BAUTIS.MARTI,bebidas
"ginebra 0,0 0,7 l","0,7 l",14.25,20.36,BEEFEATER,bebidas
"ginebra 0,7 l","0,7 l",14.25,20.36,BEEFEATER,bebidas
"ginebra beefeater black 0,7 l","0,7 l",18.5,26.43,BEEFEATER,bebidas
"licor limoncello 0,7 l","0,7 l",7.29,10.41,BELLAMARE,bebidas
agua mineral natural bag in box 8 l,x 8,3.5,0.44,BEZOYA,bebidas
"agua mineral natural botella 0,5 l","botella 0,5 l",0.65,1.3,BEZOYA,bebidas
agua mineral natural botella 1 l,botella 1 l,0.69,0.69,BEZOYA,bebidas
agua mineral natural garrafa 5 l,5 l,2.25,0.45,BEZOYA,bebidas
"agua mineral natural tapon sport 0,33 l","0,33 l",0.55,1.67,BEZOYA,bebidas
"agua mineral natural. botella 1,5 l","botella 1,5 l",0.69,0.46,BEZOYA,bebidas
bifrutas tropical 1 l,1 l,2.31,2.31,BIFRUTAS,bebidas
zumo de frutas y leche sabor tropical p-3 3 x 330 ml,3 x 330,2.0,2.02,BIFRUTAS,bebidas
zumo de frutas y leche sabor tropical p-6 6 x 200 ml,6 x 200,2.52,2.1,BIFRUTAS,bebidas
zumo de frutas y leche tropical s/azucar p-6 6 x 200 ml,6 x 200,2.52,2.1,BIFRUTAS,bebidas
